task_id,file,worker,status,mano_cua_status,mano_cua_result,total_steps,compliance,compliance_issues,has_trajectory,trajectory_match,match_confidence,is_duplicate,grade
Analog-135,worker-01/Analog-135.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
Notpad-268,worker-01/Notpad-268.json,worker-01,completed,COMPLETED,abnormal,14,pass,,yes,strong_match,1.0,no,A
Piped-3821,worker-01/Piped-3821.json,worker-01,completed,COMPLETED,abnormal,8,pass,,yes,strong_match,1.0,no,A
Piped-4059,worker-01/Piped-4059.json,worker-01,completed,COMPLETED,unclear,15,pass,,yes,strong_match,1.0,no,A
Scriptis-17,worker-01/Scriptis-17.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
Semantic-UI-React-2221,worker-01/Semantic-UI-React-2221.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
Semantic-UI-React-3502,worker-01/Semantic-UI-React-3502.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
Semantic-UI-React-3552,worker-01/Semantic-UI-React-3552.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
Semantic-UI-React-3581,worker-01/Semantic-UI-React-3581.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
Semantic-UI-React-3669,worker-01/Semantic-UI-React-3669.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
Silex-755,worker-01/Silex-755.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
SvelteLab-265,worker-01/SvelteLab-265.json,worker-01,completed,COMPLETED,abnormal,51,pass,,yes,strong_match,1.0,no,A
actual-5278,worker-01/actual-5278.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
actual-5481,worker-01/actual-5481.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
actual-7282,worker-01/actual-7282.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
actual-7332,worker-01/actual-7332.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
actual-7475,worker-01/actual-7475.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
adminjs-807,worker-01/adminjs-807.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
agency-os-101,worker-01/agency-os-101.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
angular-datepicker-245,worker-01/angular-datepicker-245.json,worker-01,completed,COMPLETED,normal,72,pass,,yes,partial,,no,A
angular-datepicker-278,worker-01/angular-datepicker-278.json,worker-01,completed,COMPLETED,normal,11,pass,,yes,partial,,no,A
ant-design-vue-7574,worker-01/ant-design-vue-7574.json,worker-01,completed,STOPPED_BY_USER,unclear,112,warn,#10,yes,strong_match,1.0,no,B
apisix-dashboard-3321,worker-01/apisix-dashboard-3321.json,worker-01,completed,STOPPED_BY_USER,abnormal,94,warn,"#6, #10",no,no_trajectory,,no,D
builder-523,worker-01/builder-523.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
devhub-17,worker-01/devhub-17.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
docz-985,worker-01/docz-985.json,worker-01,failed,,,,pass,,N/A,N/A,,no,A
factoriolab-1494,worker-01/factoriolab-1494.json,worker-01,completed,COMPLETED,abnormal,11,pass,,yes,strong_match,1.0,no,A
factoriolab-1585,worker-01/factoriolab-1585.json,worker-01,completed,COMPLETED,normal,45,pass,,yes,strong_match,1.0,no,A
factoriolab-1601,worker-01/factoriolab-1601.json,worker-01,completed,COMPLETED,abnormal,30,pass,,yes,strong_match,1.0,no,A
factoriolab-1693,worker-01/factoriolab-1693.json,worker-01,completed,COMPLETED,normal,37,pass,,yes,strong_match,1.0,no,A
graphviz-visual-editor-215,worker-01/graphviz-visual-editor-215.json,worker-01,completed,COMPLETED,abnormal,18,pass,,yes,strong_match,1.0,no,A
ha-fusion-62,worker-01/ha-fusion-62.json,worker-01,completed,COMPLETED,abnormal,29,pass,,yes,strong_match,1.0,no,A
jodit-1327,worker-01/jodit-1327.json,worker-01,completed,STOPPED_BY_USER,abnormal,63,pass,,yes,partial,,no,A
